ID,Att,Rate
StafMa00,663,97.2
BreeDr00,657,110.6
BradTo00,611,105.6
MannEl00,589,92.9
RivePh00,582,88.7
FitzRy00,569,79.1
RyanMa00,566,92.2
FreeJo00,551,74.6
SancMa00,543,78.2
FlacJo00,542,80.9
RomoTo00,522,102.5
HassMa00,518,82.4
NewtCa00,517,84.5
DaltAn00,516,80.4
RoetBe00,513,90.1
RodgAa00,502,122.5
McCoCo00,463,74.6
GrosRe00,458,72.4
JackTa00,450,79.2
SmitAl03,445,90.7
VickMi00,423,84.9
GabbBl00,413,65.4
BradSa00,357,70.5
MoorMa01,347,87.1
PalmCa00,328,80.5
CutlJa00,314,85.7
SchaMa00,292,96.8
PondCh00,291,70.1
SkelJo00,275,68.9
TeboTi00,271,72.9
CassMa00,269,76.6
KolbKe00,253,81.1
OrtoKy00,252,77.8
PainCu00,243,66.6
