ID,Att,Rate
BreeDr00,673,101.7
FlacJo00,672,83.5
BortBl00,625,78.8
RodgAa00,610,104.2
WentCa00,607,79.3
CousKi00,606,97.2
MannEl00,598,86
PalmCa00,597,87.2
StafMa00,594,93.3
RivePh00,578,87.9
WinsJa00,567,86.1
DaltAn00,563,91.8
CarrDe02,560,96.7
BradSa00,552,99.3
WilsRu00,546,92.6
LuckAn00,545,96.4
RyanMa00,534,117.1
NewtCa00,510,75.8
OsweBr00,510,72.2
RoetBe00,509,95.4
SmitAl03,489,91.2
SiemTr00,486,84.6
PresDa01,459,104.9
MariMa01,451,95.6
TaylTy00,436,89.7
BradTo00,432,112.2
FitzRy00,403,69.6
TannRy00,389,93.5
KaepCo00,331,90.7
KeenCa00,322,76.4
