ID,Att,Rate
MannPe00,679,91.9
BreeDr00,658,90.9
BradSa00,590,76.5
PalmCa00,586,82.4
SchaMa00,574,92
RyanMa00,571,91
RivePh00,541,101.8
MannEl00,539,85.3
SancMa00,507,75.3
OrtoKy00,498,87.5
BradTo00,492,111
HennCh01,490,75.4
FlacJo00,489,93.6
RodgAa00,475,101.2
FreeJo00,474,95.9
McNaDo00,472,77.1
CassMa00,450,93
HassMa00,444,73.2
FitzRy00,441,81.8
CutlJa00,432,86.3
HillSh00,416,81.3
RoetBe00,389,97
VickMi00,372,100.2
GarrDa00,366,90.8
FavrBr00,358,69.9
SmitAl03,342,82.1
CampJa00,329,84.5
AndeDe00,327,65.9
KitnJo00,318,88.9
ClauJi00,299,58.4
CollKe00,278,82.2
