ID,Att,Rate
RivePh00,661,93.8
BreeDr00,627,101
BradTo00,624,102.2
MannEl00,618,93.6
RyanMa00,614,89
BortBl00,606,88.2
StafMa00,592,97
TannRy00,586,88.7
CarrDe02,573,91.1
RodgAa00,572,92.7
FitzRy00,562,88
CousKi00,543,101.6
PalmCa00,537,104.6
WinsJa00,535,84.2
BradSa00,532,86.4
NewtCa00,495,99.4
CutlJa00,483,92.3
WilsRu00,483,110.1
SmitAl03,470,95.4
RoetBe00,469,94.5
BridTe00,447,88.7
FlacJo00,413,83.1
DaltAn00,386,106.2
TaylTy00,380,99.4
MariMa01,370,91.5
HoyeBr00,369,91.4
FoleNi00,337,69
MannPe00,331,67.9
LuckAn00,293,74.9
McCoJo01,292,93.3
GabbBl00,282,86.2
OsweBr00,275,86.4
HassMa00,256,84
KaepCo00,244,78.5
MallRy00,244,67.9
