ID,Att,Rate
MannPe00,659,115.1
RyanMa00,651,89.6
BreeDr00,650,104.7
StafMa00,634,84.2
BradTo00,628,87.3
FlacJo00,614,73.1
TannRy00,588,81.7
DaltAn00,586,88.8
RoetBe00,584,92
PalmCa00,572,83.9
LuckAn00,570,87
MannEl00,551,69.4
RivePh00,544,105.5
RomoTo00,535,96.7
SmitAl03,508,89.1
HennCh01,503,76.5
NewtCa00,473,88.8
GrifRo01,456,82.2
SmitGe00,443,66.5
GlenMi00,416,83.9
KaepCo00,416,91.6
WilsRu00,407,101.2
SchaMa00,358,73
CutlJa00,355,89.2
FitzRy00,350,82
CampJa00,317,76.9
FoleNi00,317,119.2
ManuEJ00,306,77.7
RodgAa00,290,104.9
PryoTe00,272,69.1
WeedBr00,267,70.3
BradSa00,262,90.9
CassMa00,254,81.6
KeenCa00,253,78.2
ClemKe00,242,78.8
PondCh00,239,77.9
McCoJo01,224,109
